[3/30/22 07:10PM] Avalon used command ::find skip scroll | Player rights = PLAYER
[4/4/22 12:13PM] Avalon used command ::pos | Player rights = DEVELOPER
[4/4/22 12:36PM] Avalon used command ::find thresh | Player rights = DEVELOPER
[4/4/22 12:36PM] Avalon used command ::find thresh | Player rights = DEVELOPER
[4/4/22 12:37PM] Avalon used command ::item 23143 | Player rights = DEVELOPER
[4/4/22 12:37PM] Avalon used command ::item 23144 | Player rights = DEVELOPER
[4/4/22 12:37PM] Avalon used command ::item 23145 | Player rights = DEVELOPER
[4/4/22 12:37PM] Avalon used command ::item 23146 | Player rights = DEVELOPER
[4/4/22 12:37PM] Avalon used command ::item 23147 | Player rights = DEVELOPER
[4/4/22 12:37PM] Avalon used command ::item 23148 | Player rights = DEVELOPER
[4/4/22 12:37PM] Avalon used command ::item 23149 | Player rights = DEVELOPER
[4/4/22 12:37PM] Avalon used command ::item 23150 | Player rights = DEVELOPER
[4/4/22 12:43PM] Avalon used command ::item 20555 | Player rights = DEVELOPER
[4/4/22 12:44PM] Avalon used command ::item 23160 | Player rights = DEVELOPER
[4/4/22 12:45PM] Avalon used command ::item 23166 | Player rights = DEVELOPER
[4/4/22 12:45PM] Avalon used command ::item 23170 | Player rights = DEVELOPER
[4/4/22 12:45PM] Avalon used command ::item 23200 | Player rights = DEVELOPER
[4/4/22 12:45PM] Avalon used command ::item 23190 | Player rights = DEVELOPER
[4/4/22 12:45PM] Avalon used command ::empty | Player rights = DEVELOPER
[4/4/22 12:45PM] Avalon used command ::item 23176 | Player rights = DEVELOPER
[4/4/22 12:45PM] Avalon used command ::bank | Player rights = DEVELOPER
[4/4/22 12:45PM] Avalon used command ::item 23186 | Player rights = DEVELOPER
[4/4/22 12:45PM] Avalon used command ::item item 23184 | Player rights = DEVELOPER
[4/4/22 12:45PM] Avalon used command ::item 23184 | Player rights = DEVELOPER
[4/4/22 12:48PM] Avalon used command ::empty | Player rights = DEVELOPER
[4/4/22 12:48PM] Avalon used command ::find thresh | Player rights = DEVELOPER
[4/4/22 12:48PM] Avalon used command ::item 2184 | Player rights = DEVELOPER
[4/4/22 12:48PM] Avalon used command ::item 23184 | Player rights = DEVELOPER
[4/4/22 12:48PM] Avalon used command ::item 23185 | Player rights = DEVELOPER
[4/4/22 12:48PM] Avalon used command ::item 23186 | Player rights = DEVELOPER
[4/4/22 12:48PM] Avalon used command ::item 23187 | Player rights = DEVELOPER
[4/4/22 12:48PM] Avalon used command ::item 23188 | Player rights = DEVELOPER
[4/4/22 12:48PM] Avalon used command ::item 23189 | Player rights = DEVELOPER
[4/4/22 12:48PM] Avalon used command ::item 23190 | Player rights = DEVELOPER
[4/4/22 01:05PM] Avalon used command ::god | Player rights = DEVELOPER
[4/4/22 02:07PM] Avalon used command ::find supreme | Player rights = DEVELOPER
[4/4/22 02:07PM] Avalon used command ::item 17410 | Player rights = DEVELOPER
[4/4/22 02:07PM] Avalon used command ::potion | Player rights = DEVELOPER
[4/4/22 02:07PM] Avalon used command ::find potion | Player rights = DEVELOPER
[4/4/22 02:07PM] Avalon used command ::item 23126 | Player rights = DEVELOPER
[4/4/22 02:08PM] Avalon used command ::god | Player rights = DEVELOPER
[4/4/22 02:08PM] Avalon used command ::god | Player rights = DEVELOPER
[4/4/22 02:08PM] Avalon used command ::item 8411 | Player rights = DEVELOPER
[4/4/22 02:08PM] Avalon used command ::god | Player rights = DEVELOPER
[4/4/22 02:08PM] Avalon used command ::god | Player rights = DEVELOPER
[4/4/22 02:08PM] Avalon used command ::god | Player rights = DEVELOPER
[4/4/22 02:08PM] Avalon used command ::god | Player rights = DEVELOPER
[4/4/22 02:10PM] Avalon used command ::god | Player rights = DEVELOPER
[4/4/22 04:34PM] Avalon used command ::npc 585 | Player rights = DEVELOPER
[4/4/22 04:35PM] Avalon used command ::npc 585 | Player rights = DEVELOPER
[4/4/22 04:37PM] Avalon used command ::npc 585 | Player rights = DEVELOPER
[4/4/22 04:41PM] Avalon used command ::npc 585 | Player rights = DEVELOPER
[4/4/22 04:43PM] Avalon used command ::npc 585 | Player rights = DEVELOPER
[4/4/22 04:43PM] Avalon used command ::ungod | Player rights = DEVELOPER
[4/4/22 04:43PM] Avalon used command ::god | Player rights = DEVELOPER
[4/4/22 04:43PM] Avalon used command ::god | Player rights = DEVELOPER
[4/4/22 04:48PM] Avalon used command ::tele 2570 2525 | Player rights = DEVELOPER
[4/4/22 04:49PM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/4/22 04:50PM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/4/22 04:53PM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/4/22 04:54PM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/4/22 04:55PM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[4/4/22 04:57PM] Avalon used command ::empty | Player rights = DEVELOPER
[4/4/22 04:57PM] Avalon used command ::item 172 100k | Player rights = DEVELOPER
[4/4/22 04:57PM] Avalon used command ::empty | Player rights = DEVELOPER
[4/4/22 04:57PM] Avalon used command ::yes | Player rights = DEVELOPER
[4/4/22 04:57PM] Avalon used command ::empty | Player rights = DEVELOPER
[4/4/22 04:57PM] Avalon used command ::empty | Player rights = DEVELOPER
[4/4/22 04:57PM] Avalon used command ::1 | Player rights = DEVELOPER
[4/4/22 04:57PM] Avalon used command ::empty | Player rights = DEVELOPER
[4/4/22 04:57PM] Avalon used command ::2 | Player rights = DEVELOPER
[4/4/22 04:57PM] Avalon used command ::item 989 500 | Player rights = DEVELOPER
[4/4/22 10:19PM] Avalon used command ::tele 2112 5056 | Player rights = DEVELOPER
[4/4/22 10:19PM] Avalon used command ::noclip | Player rights = DEVELOPER
[4/4/22 10:25PM] Avalon used command ::REPACKINDEX4 | Player rights = DEVELOPER
[4/4/22 10:26PM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[4/4/22 10:26PM] Avalon used command ::NOCLIP | Player rights = DEVELOPER
[4/4/22 10:26PM] Avalon used command ::noclip | Player rights = DEVELOPER
[4/4/22 10:27PM] Avalon used command ::mypos | Player rights = DEVELOPER
